cluster,variable,coefficient,std_error,t_stat,p_value,ci_lower,ci_upper,n_obs
0,temp_error_1h,-1.1571232286583593,0.6143528095766346,-1.8834832536303705,0.05967273268732742,-2.361254735428563,0.047008278111844604,7708
0,wspd_error_1h,3.869529024949745,0.998939576379331,3.8736367208264,0.00010811587031089864,1.9116074552462563,5.827450594653234,7708
0,load_error_1h,0.007783007688353571,0.0030191169089956627,2.5779086809005554,0.00995852476891912,0.001865538546722072,0.01370047682998507,7708
0,temp_error_0h,-0.7178609624637636,0.4512705740078262,-1.5907550897642044,0.11170594261342814,-1.602351287519103,0.1666293625915758,7708
0,wspd_error_0h,-2.054857238077332,0.7930287169026053,-2.5911511074947566,0.009583676961300913,-3.6091935232064385,-0.5005209529482253,7708
0,load_error_dah,-0.0016735023425245655,0.0015434650706323194,-1.0842502200836803,0.27828797261225935,-0.0046986938809639115,0.0013516891959147806,7708
0,weekday,-0.7810592664715182,0.2231160365033812,-3.5006863635267282,0.0004667015055273005,-1.2183666980181453,-0.34375183492489114,7708
0,actual_load,0.013025451422579116,0.00055522157736601,23.459915740977323,0.0,0.011937217130941737,0.014113685714216496,7708
1,temp_error_1h,-2.4546583532402204,0.5099328784624989,-4.813689128344249,1.510056436115903e-06,-3.4541267950267183,-1.4551899114537226,7708
1,wspd_error_1h,2.662175817247177,0.8508951851783166,3.128676555725582,0.0017625401982577227,0.9944212542976765,4.329930380196678,7708
1,load_error_1h,0.012235971005837194,0.0026192000326068637,4.671644339305713,3.0389161456145786e-06,0.00710233894192774,0.017369603069746647,7708
1,temp_error_0h,0.8628385287350187,0.38121775651095596,2.263374446751987,0.023640460918272543,0.115651725973545,1.6100253314964923,7708
1,wspd_error_0h,0.06479024847027878,0.6973868174712087,0.09290432059673055,0.9259820012905107,-1.3020879137732904,1.4316684107138478,7708
1,load_error_dah,-0.002017137700524221,0.0014191321681665228,-1.421388187634633,0.15524462147130058,-0.004798636750130605,0.0007643613490821636,7708
1,weekday,-0.7301477882469968,0.2233353629261581,-3.2692887444269507,0.0010829378383505617,-1.1678850995822667,-0.2924104769117269,7708
1,actual_load,0.01043786035424266,0.00044716553202545117,23.342273960526484,0.0,0.009561415911472776,0.011314304797012543,7708
2,temp_error_1h,-3.3777380670849575,0.5584642095154193,-6.048262376591382,1.5328769364941763e-09,-4.472327917735179,-2.2831482164347356,7708
2,wspd_error_1h,2.335932168249912,0.8167951219425119,2.8598752679797723,0.004249525763518225,0.7350137292425887,3.9368506072572353,7708
2,load_error_1h,0.008025853075954603,0.0030630624912900994,2.6202054639029835,0.008805010049514062,0.0020222505930260083,0.014029455558883198,7708
2,temp_error_0h,0.9165766607210561,0.49591722802923144,1.8482452492395147,0.06460536592312827,-0.055421106216237415,1.8885744276583498,7708
2,wspd_error_0h,1.8017425484203344,0.7758827697468056,2.322183993089959,0.0202490950808647,0.28101231971659546,3.3224727771240734,7708
2,load_error_dah,-0.0030229006119987713,0.001925128763556928,-1.5702329471269059,0.11640220346448382,-0.00679615298857035,0.0007503517645728076,7708
2,weekday,-1.006388519384248,0.2267226317339231,-4.438853376425713,9.170539494229857e-06,-1.450764877582737,-0.5620121611857587,7708
2,actual_load,0.013807464907011778,0.0007508458225749764,18.389214525639876,0.0,0.012335807094764825,0.015279122719258732,7708
3,temp_error_1h,-0.5293314239706113,0.4624651204232283,-1.1445866955029815,0.2524161456372995,-1.4357630600001388,0.3771002120589162,7708
3,wspd_error_1h,1.7701553061924995,0.610583220622818,2.8991220957347537,0.0037527132138108765,0.5734121937717762,2.966898418613223,7708
3,load_error_1h,-0.003989344155260645,0.0016196456170388348,-2.4630969350902094,0.013796084415932164,-0.007163849564656761,-0.000814838745864529,7708
3,temp_error_0h,0.3620886114535723,0.33381506453021265,1.0846982354231072,0.278089444696042,-0.2921889150256445,1.016366137932789,7708
3,wspd_error_0h,-0.20107178821135513,0.4287022939634549,-0.4690242880494026,0.63906561486663,-1.0413282843797267,0.6391847079570163,7708
3,load_error_dah,0.010941058315941376,0.001558728582226946,7.019219664471637,2.4218405059173165e-12,0.007885950294776562,0.01399616633710619,7708
3,weekday,-1.2006940994789819,0.22638073768041303,-5.3038704254689275,1.1654011689010702e-07,-1.6444003453325915,-0.7569878536253724,7708
3,actual_load,-0.018826803221956203,0.001850992358975123,-10.171194457215602,0.0,-0.022454748245547444,-0.015198858198364962,7708
4,temp_error_1h,-2.836429624109554,0.47085941779080004,-6.023941577759335,1.7808112762196515e-09,-3.759314082979522,-1.913545165239586,7708
4,wspd_error_1h,3.7324006053797456,0.6768530009685464,5.514344473672788,3.6147784543416606e-08,2.405768723481395,5.059032487278096,7708
4,load_error_1h,0.004351897630925268,0.0013118264969143234,3.317433853609297,0.0009127145162401984,0.0017807176969731942,0.0069230775648773425,7708
4,temp_error_0h,0.5378839586191518,0.4158337744790127,1.2935071454767055,0.195874692786709,-0.27715023935971306,1.3529181565980166,7708
4,wspd_error_0h,-0.15228167439848034,0.6405586887120093,-0.2377325873210427,0.812094861198942,-1.4077767042740184,1.1032133554770578,7708
4,load_error_dah,-0.0015890082750458752,0.0007022807283654532,-2.2626397263445712,0.023685773588404624,-0.0029654785026421637,-0.00021253804744958697,7708
4,weekday,-0.8907059092787138,0.229550931577263,-3.8802103879892864,0.0001052406205523937,-1.3406257351701494,-0.44078608338727837,7708
4,actual_load,0.005702138134665613,0.00033344067902978895,17.10090727759163,0.0,0.005048594403767226,0.006355681865563999,7708
