pixel_id,lat,lon,error_var,coef,std_err,pvalue,n_obs
26.1_-97.4,26.099999999999852,-97.40000000000052,temp_error_1h,0.3677424364529483,0.3349712634086658,0.2723091440771941,8398
26.1_-97.4,26.099999999999852,-97.40000000000052,wspd_error_1h,1.8873337007422168,0.3895311004478261,1.2879790862729834e-06,8398
26.1_-97.4,26.099999999999852,-97.40000000000052,temp_error_0h,0.7121145895343466,0.4536259508576492,0.11649306154432204,8398
26.1_-97.4,26.099999999999852,-97.40000000000052,wspd_error_0h,2.417784139603009,0.44472743225148725,5.585349427406072e-08,8398
26.1_-97.5,26.099999999999852,-97.50000000000051,temp_error_1h,0.22020030213069688,0.3415186625305946,0.5190952478633757,8398
26.1_-97.5,26.099999999999852,-97.50000000000051,wspd_error_1h,1.625980485690253,0.41925530907483766,0.00010601376082286507,8398
26.1_-97.5,26.099999999999852,-97.50000000000051,temp_error_0h,0.9340421308278863,0.38998591690191026,0.016639241904218505,8398
26.1_-97.5,26.099999999999852,-97.50000000000051,wspd_error_0h,1.8689815134358634,0.4532446038651975,3.766722876319406e-05,8398
26.1_-97.6,26.099999999999852,-97.6000000000005,temp_error_1h,0.14288073001907206,0.3524520414748604,0.6852008284326745,8398
26.1_-97.6,26.099999999999852,-97.6000000000005,wspd_error_1h,1.4037482070807847,0.4150500824313512,0.0007225937667796334,8398
26.1_-97.6,26.099999999999852,-97.6000000000005,temp_error_0h,1.1289709177004243,0.391258712174862,0.003918120441958273,8398
26.1_-97.6,26.099999999999852,-97.6000000000005,wspd_error_0h,1.524901121748601,0.4733454069722111,0.0012799222303681024,8398
26.1_-97.8,26.099999999999852,-97.8000000000005,temp_error_1h,-0.27567147249979873,0.362972672111341,0.4475852715152424,8398
26.1_-97.8,26.099999999999852,-97.8000000000005,wspd_error_1h,1.598421939887073,0.43292059624028006,0.0002237540799838733,8398
26.1_-97.8,26.099999999999852,-97.8000000000005,temp_error_0h,1.1206947954302535,0.3702389725333532,0.0024778769438995596,8398
26.1_-97.8,26.099999999999852,-97.8000000000005,wspd_error_0h,0.7338028719930973,0.4801548840704135,0.1264851403756384,8398
26.2_-97.4,26.199999999999854,-97.40000000000052,temp_error_1h,0.4210454638473263,0.34387282513824585,0.22082758013306258,8398
26.2_-97.4,26.199999999999854,-97.40000000000052,wspd_error_1h,2.2580806540609593,0.3960338594474571,1.2262797000062164e-08,8398
26.2_-97.4,26.199999999999854,-97.40000000000052,temp_error_0h,0.3032992065351843,0.4577149641817415,0.5075808736772764,8398
26.2_-97.4,26.199999999999854,-97.40000000000052,wspd_error_0h,2.342938720337511,0.4372977147128327,8.650174843083391e-08,8398
26.2_-97.5,26.199999999999854,-97.50000000000051,temp_error_1h,0.4461620609692283,0.3481159925250475,0.20000182095053698,8398
26.2_-97.5,26.199999999999854,-97.50000000000051,wspd_error_1h,1.6500030098648981,0.3997892982030511,3.708037761884775e-05,8398
26.2_-97.5,26.199999999999854,-97.50000000000051,temp_error_0h,0.6387403636186305,0.37881008643102393,0.09179929449436353,8398
26.2_-97.5,26.199999999999854,-97.50000000000051,wspd_error_0h,1.9981996184259827,0.45068124477456445,9.379944237997151e-06,8398
26.2_-97.6,26.199999999999854,-97.6000000000005,temp_error_1h,0.2912921471763557,0.3479451739327771,0.4025162987790225,8398
